Pressure,4kPa,10kPa,100kPa,300kPa
St_0,0.1750999291536,0.169868590035014,0.045146822477602,0.044274932624505
St_0i,0.152262762577899,0.14804735928209,0.0455382062382,0.038013514373718
St_1,0.186973018919649,0.161914653226964,0.038502202190493,0.036789880534826
St_1i,0.174337535004033,0.157161240820902,0.041038095549638,0.040671776479382
St_2,0.173194642561856,0.153687257984655,0.040831904683294,0.036971495945911
St_2i,0.123924406915963,0.110735826296743,0.050462404503418,0.010454362685967
St_3,0.160136213375964,0.139161999348828,0.039931721621961,0.036753810405728
St_3i,0.140101317122594,0.081864235055724,0.034002026342452,0.00741641337386
St_4,0.129854813127821,0.120013013949327,0.048964984342592,0.011631217210948
St_4i,0.202110505211364,0.190009312264108,0.044090927489202,0.041978719265681
St_5,0.126848646947766,0.103799559471366,0.036697608558842,0.008456576463184
St_5i,0.188872685433591,0.152891509522752,0.035856652645502,0.032911574190167
St_6,0.189832998367332,0.179766366936733,0.043802587529406,0.042731669292108
St_6i,0.122187137775291,0.112674367480715,0.056716895159679,0.013349854110876
St_7,0.173725607415261,0.168956219589645,0.045698649000685,0.042837016305316
St_7i,0.182270955367118,0.173749338264052,0.044394500005376,0.042946652439321
St_8,0.186598503826714,0.177230510845458,0.044196646232171,0.043192932698465
St_8i,0.184130221933957,0.148387327117556,0.036795660202502,0.036208335639791
Fluv_1,0.101235137942976,0.086844434183693,0.042594944014776,0.009888799107315
Fluv_2,0.097388088450574,0.089837429694121,0.04553509515371,0.007743277602281
Fluv_3,0.106533697415806,0.090941469785112,0.046697534528474,0.010764177450631
Xero_4,0.104737958670543,0.094759173410859,0.048440323721223,0.012100259291271
Xero_5,0.102084775751981,0.085352719439957,0.040733902607893,0.012077852142473
Xero_6,0.104898584003061,0.08798316111749,0.046306926903942,0.034634519709147
Hala_7,0.114424546416396,0.099259375367373,0.047258905129511,0.010776284337161
Hala_8,0.118400124141677,0.08693796795593,0.037203708732591,0.009776157039221
Hala_9,0.091382126172661,0.086976337878385,0.046184815222758,0.010254852064264
